relpath,hash,class,run,cache_file,x0,y0,x1,y1,roi_confident
Fail\Dent\250907_142008_A35W_7-2 [16].bmp,705cb6bd064c72d1cffff80b0c0f05f9,Dent,250907_142008,705cb6bd064c72d1cffff80b0c0f05f9_v1_fefa1c62.png,253,682,1954,1303,True
Fail\Dent\250907_142008_A35W_7-3 [16].bmp,7a0c968cc7b6ab4844ddb6fee3e8a87f,Dent,250907_142008,7a0c968cc7b6ab4844ddb6fee3e8a87f_v1_fefa1c62.png,274,597,1969,1224,True
Fail\Dent\250907_142008_A35W_9-2 [16].bmp,f7d97e17e66c45dfb17b750148412401,Dent,250907_142008,f7d97e17e66c45dfb17b750148412401_v1_fefa1c62.png,267,677,1957,1288,True
Fail\Dent\250907_142008_A35W_9-3 [16].bmp,8ca318850f2aae0e04a9203f61888504,Dent,250907_142008,8ca318850f2aae0e04a9203f61888504_v1_fefa1c62.png,281,583,1968,1196,True
Fail\Dent\250930_161939_A35W_1-2 [16].bmp,f897c3feae292826f3688ef48b4dc688,Dent,250930_161939,f897c3feae292826f3688ef48b4dc688_v1_fefa1c62.png,234,670,2085,1305,True
Fail\Dent\250930_161939_A35W_2-3 [16].bmp,7df2716d67e771351368c6fc83e45423,Dent,250930_161939,7df2716d67e771351368c6fc83e45423_v1_fefa1c62.png,285,588,1956,1223,True
Fail\Dent\250930_170704_A35W_1-1 [1024].bmp,077a132910b40d55806ebae952b0057d,Dent,250930_170704,077a132910b40d55806ebae952b0057d_v1_fefa1c62.png,159,666,2298,1323,True
Fail\Dent\250930_170704_A35W_14-3 [16].bmp,0ebb7cf108542a4d56674d6a965d0a2e,Dent,250930_170704,0ebb7cf108542a4d56674d6a965d0a2e_v1_fefa1c62.png,299,598,2000,1237,True
Fail\Dent\250930_170704_A35W_15-3 [16].bmp,7e14e44936668dc938d20fcd28d3e914,Dent,250930_170704,7e14e44936668dc938d20fcd28d3e914_v1_fefa1c62.png,297,603,1980,1232,True
Fail\Dent\250930_170704_A35W_16-3 [16].bmp,ef0dae3e1e36fd63760ef4ec24bdd152,Dent,250930_170704,ef0dae3e1e36fd63760ef4ec24bdd152_v1_fefa1c62.png,298,601,1973,1214,True
Fail\Dent\250930_170704_A35W_17-3 [16].bmp,daf62428c7fd2204d5b4116cbabf3690,Dent,250930_170704,daf62428c7fd2204d5b4116cbabf3690_v1_fefa1c62.png,280,602,1957,1239,True
Fail\Dent\250930_170704_A35W_18-3 [16].bmp,50aada4a1eff4d6caef90d57c335f568,Dent,250930_170704,50aada4a1eff4d6caef90d57c335f568_v1_fefa1c62.png,314,606,1973,1211,True
Fail\Dent\250930_170704_A35W_6-2 [16384].bmp,6521d6da1002d73e62c36a0a36b58676,Dent,250930_170704,6521d6da1002d73e62c36a0a36b58676_v1_fefa1c62.png,296,682,1975,1301,True
Fail\Dent\250930_170704_A35W_7-2 [16].bmp,b97a1a2b8a6d668d42bd30d3df3d9509,Dent,250930_170704,b97a1a2b8a6d668d42bd30d3df3d9509_v1_fefa1c62.png,268,667,1963,1296,True
Fail\Dent\250930_170704_A35W_8-2 [16].bmp,5aff33bd26f0f754ae191f92eb9d3015,Dent,250930_170704,5aff33bd26f0f754ae191f92eb9d3015_v1_fefa1c62.png,273,679,1992,1306,True
Fail\Dent\250930_170704_A35W_9-2 [16].bmp,043f2cd904a0920c4beeef714575a23c,Dent,250930_170704,043f2cd904a0920c4beeef714575a23c_v1_fefa1c62.png,274,686,1971,1303,True
Fail\Dent\251003_125510_A35W_20-3 [16].bmp,b19f7569cfef29429cbd04f8e5e2ceb9,Dent,251003_125510,b19f7569cfef29429cbd04f8e5e2ceb9_v1_fefa1c62.png,279,609,1984,1240,True
Fail\Dent\251003_125510_A35W_21-3 [16].bmp,bac272b269fa32515bf87613937bbd5e,Dent,251003_125510,bac272b269fa32515bf87613937bbd5e_v1_fefa1c62.png,296,595,1989,1242,True
Fail\Dent\251003_125510_A35W_23-2 [16384].bmp,11efff11308ba9d65b93a510692b4917,Dent,251003_125510,11efff11308ba9d65b93a510692b4917_v1_fefa1c62.png,271,690,1994,1329,True
Fail\Dent\251003_125510_A35W_24-2 [16384].bmp,e88ef77b37b8dbf5dab7bbad37a60c4d,Dent,251003_125510,e88ef77b37b8dbf5dab7bbad37a60c4d_v1_fefa1c62.png,277,690,1982,1314,True
Fail\Dent\251003_125510_A35W_27-1 [1024].bmp,c29e0e397671b96d7fdae6a673a88758,Dent,251003_125510,c29e0e397671b96d7fdae6a673a88758_v1_fefa1c62.png,213,708,2210,1363,True
Fail\Dent\251003_125510_A35W_28-1 [1024].bmp,b326a605b96ff8a6534c1ce0b50c486c,Dent,251003_125510,b326a605b96ff8a6534c1ce0b50c486c_v1_fefa1c62.png,200,699,2293,1349,True
Fail\Dent\251003_125510_A35W_29-1 [1024].bmp,82f4aba33d44d51a79f391941194c9da,Dent,251003_125510,82f4aba33d44d51a79f391941194c9da_v1_fefa1c62.png,189,709,2310,1356,True
Fail\Dent\251003_125510_A35W_30-1 [1024].bmp,9dded1cdd03c0bf9008bbad9a06321ec,Dent,251003_125510,9dded1cdd03c0bf9008bbad9a06321ec_v1_fefa1c62.png,195,697,2260,1347,True
Fail\Dent\251003_125510_A35W_31-1 [1024].bmp,13977d279a1be6bb684b4f228bfcc084,Dent,251003_125510,13977d279a1be6bb684b4f228bfcc084_v1_fefa1c62.png,122,358,2325,1290,False
Fail\Dent\251003_133647_A35W_10-2 [16384].bmp,bd02075bded775c9eeca333a64b2249e,Dent,251003_133647,bd02075bded775c9eeca333a64b2249e_v1_fefa1c62.png,280,671,1977,1314,True
Fail\Dent\251003_133647_A35W_10-3 [16].bmp,07c2de6057dca17ce63cba372213d493,Dent,251003_133647,07c2de6057dca17ce63cba372213d493_v1_fefa1c62.png,275,578,1958,1213,True
Fail\Dent\251003_133647_A35W_11-1 [1024].bmp,d0e9ec75c91026d70bc254e17b247e47,Dent,251003_133647,d0e9ec75c91026d70bc254e17b247e47_v1_fefa1c62.png,191,677,2204,1324,True
Fail\Dent\251003_133647_A35W_15-2 [16384].bmp,9f03490a0ae7ee8dad65b4e08d0de5f4,Dent,251003_133647,9f03490a0ae7ee8dad65b4e08d0de5f4_v1_fefa1c62.png,199,683,1990,1310,True
Fail\Dent\251003_133647_A35W_2-2 [16384].bmp,6137c70dab7e03f1897347d5ed88afc4,Dent,251003_133647,6137c70dab7e03f1897347d5ed88afc4_v1_fefa1c62.png,275,657,1978,1307,True
Fail\Dent\251003_133647_A35W_5-1 [1024].bmp,9086a1afc6d058e87ec3056661ffd7ba,Dent,251003_133647,9086a1afc6d058e87ec3056661ffd7ba_v1_fefa1c62.png,172,677,2304,1338,True
Fail\Dent\251003_133647_A35W_7-1 [1024].bmp,b377ae44b03f65c5c5b22dd8eeb21dd3,Dent,251003_133647,b377ae44b03f65c5c5b22dd8eeb21dd3_v1_fefa1c62.png,195,683,2298,1333,True
Fail\Dent\251003_133647_A35W_9-1 [1024].bmp,b4c000b0fc68a7b196f776975ab084ff,Dent,251003_133647,b4c000b0fc68a7b196f776975ab084ff_v1_fefa1c62.png,183,669,2248,1316,True
Fail\Dent\251003_135630_A35W_2-3 [16].bmp,e0ad9eb452256481bfbff46caf92e680,Dent,251003_135630,e0ad9eb452256481bfbff46caf92e680_v1_fefa1c62.png,304,592,1961,1211,True
Fail\Dent\251003_135630_A35W_24-1 [1024].bmp,80171faecb1cd35c42445bc74a4fa337,Dent,251003_135630,80171faecb1cd35c42445bc74a4fa337_v1_fefa1c62.png,224,689,2229,1336,True
Fail\Dent\251010_083430_A35W_1-1 [1024].bmp,c59d5acd88499c2ebdb8f5b32c53c310,Dent,251010_083430,c59d5acd88499c2ebdb8f5b32c53c310_v1_fefa1c62.png,165,672,2370,1325,True
Fail\Dent\251010_083430_A35W_3-1 [1024].bmp,e14a0a92710a2c6f0c23ced6c048af22,Dent,251010_083430,e14a0a92710a2c6f0c23ced6c048af22_v1_fefa1c62.png,212,683,2305,1344,True
Fail\Dent\251010_083430_A35W_5-1 [1024].bmp,1ddf3902a483ba7a1422e31b87f9590f,Dent,251010_083430,1ddf3902a483ba7a1422e31b87f9590f_v1_fefa1c62.png,173,669,2310,1332,True
Fail\Dent\251010_084003_A35W_2-3 [16].bmp,4317cea130cf38f4c7b62708e56c4fa7,Dent,251010_084003,4317cea130cf38f4c7b62708e56c4fa7_v1_fefa1c62.png,292,590,1956,1209,True
Fail\Dent\251010_084003_A35W_3-2 [16].bmp,a5ffc61680eefafc09aac2ca7bc82088,Dent,251010_084003,a5ffc61680eefafc09aac2ca7bc82088_v1_fefa1c62.png,257,677,1996,1308,True
Fail\Dent\251010_084003_A35W_5-2 [16].bmp,2d754c317a50bda8cf9b3c96248fde46,Dent,251010_084003,2d754c317a50bda8cf9b3c96248fde46_v1_fefa1c62.png,247,668,2018,1303,True
Fail\Dent\251010_084003_A35W_6-2 [16].bmp,9a53a9bc1d40a4fda48d617c7e93bfce,Dent,251010_084003,9a53a9bc1d40a4fda48d617c7e93bfce_v1_fefa1c62.png,256,670,1969,1307,True
Fail\Dent\251014_135417_A35W_1-3 [262144].bmp,f6c867ba769f4ce5eb29ab4a5326c8c7,Dent,251014_135417,f6c867ba769f4ce5eb29ab4a5326c8c7_v1_fefa1c62.png,231,578,1970,1199,True
Fail\Dent\251014_135417_A35W_11-1 [1024].bmp,93d6d4b5680d7bb14ce097a5108fd661,Dent,251014_135417,93d6d4b5680d7bb14ce097a5108fd661_v1_fefa1c62.png,195,660,2174,1313,True
Fail\Dent\251014_135417_A35W_15-1 [16].bmp,768e98946f5bf9785bb4b0150d06458f,Dent,251014_135417,768e98946f5bf9785bb4b0150d06458f_v1_fefa1c62.png,216,688,2207,1345,True
Fail\Dent\251014_135417_A35W_28-1 [1024].bmp,c7cf0bd0081bc49b1d29ce283678d644,Dent,251014_135417,c7cf0bd0081bc49b1d29ce283678d644_v1_fefa1c62.png,192,693,2267,1340,True
Fail\Dent\251014_135417_A35W_3-2 [16].bmp,a589465207325f797d85939bdffa6330,Dent,251014_135417,a589465207325f797d85939bdffa6330_v1_fefa1c62.png,278,676,1971,1293,True
Fail\Dent\251014_135417_A35W_4-2 [16].bmp,255053dbf7df2f31c4cb03ea86019d52,Dent,251014_135417,255053dbf7df2f31c4cb03ea86019d52_v1_fefa1c62.png,270,683,1979,1312,True
Fail\Dent\251014_135417_A35W_6-1 [1024].bmp,185be8ac07f0b27b862a86be95c42373,Dent,251014_135417,185be8ac07f0b27b862a86be95c42373_v1_fefa1c62.png,158,686,2303,1339,True
Fail\Dent\251014_141452_A35W_3-3 [262144].bmp,4055f1ccd4e3fe213517673614334b5a,Dent,251014_141452,4055f1ccd4e3fe213517673614334b5a_v1_fefa1c62.png,292,580,1967,1201,True
Fail\Dent\251016_140741_A35W_1-3 [262144].bmp,5347ffc7aa87c7059e95aa24a66330fc,Dent,251016_140741,5347ffc7aa87c7059e95aa24a66330fc_v1_fefa1c62.png,300,586,1977,1223,True
Fail\Dent\251016_140741_A35W_3-3 [1].bmp,7921a9d4f737baeef8b3698f117f5b6a,Dent,251016_140741,7921a9d4f737baeef8b3698f117f5b6a_v1_fefa1c62.png,277,570,1996,1191,True
Fail\Dent\251016_140741_A35W_7-2 [16].bmp,b24ae953acd25a089e7e860c4f79240d,Dent,251016_140741,b24ae953acd25a089e7e860c4f79240d_v1_fefa1c62.png,255,679,1945,1292,True
Fail\Loose\250825_152739_A35W_1-1 [1024].bmp,c715705d56128ee74be4696081738bf1,Loose,250825_152739,c715705d56128ee74be4696081738bf1_v1_fefa1c62.png,198,666,2205,1321,True
Fail\Loose\250825_152739_A35W_10-3 [16].bmp,a5bdc28ebdce3c94b25ed5f44f8580b6,Loose,250825_152739,a5bdc28ebdce3c94b25ed5f44f8580b6_v1_fefa1c62.png,297,563,1966,1213,True
Fail\Loose\250825_152739_A35W_11-3 [16].bmp,0f3b924598bfc7ac0328e979a2c408a9,Loose,250825_152739,0f3b924598bfc7ac0328e979a2c408a9_v1_fefa1c62.png,282,578,1946,1202,True
Fail\Loose\250825_152739_A35W_12-3 [16].bmp,8825354f8b43cb87856110221d5aee6d,Loose,250825_152739,8825354f8b43cb87856110221d5aee6d_v1_fefa1c62.png,291,571,1992,1216,True
Fail\Loose\250825_152739_A35W_13-3 [16].bmp,23b9c5116c7c82618d1898e320fdce3f,Loose,250825_152739,23b9c5116c7c82618d1898e320fdce3f_v1_fefa1c62.png,269,587,1988,1237,True
Fail\Loose\250825_152739_A35W_16-2 [16384].bmp,bcf29f73484535372f22dab809950f10,Loose,250825_152739,bcf29f73484535372f22dab809950f10_v1_fefa1c62.png,277,700,2012,1319,True
Fail\Loose\250825_152739_A35W_17-2 [16384].bmp,1c64c74db99cfe466f6e03b00d3e3342,Loose,250825_152739,1c64c74db99cfe466f6e03b00d3e3342_v1_fefa1c62.png,274,695,2001,1326,True
Fail\Loose\250825_152739_A35W_18-2 [16384].bmp,bf452f4dc131389ccc2e2074e83bdbc4,Loose,250825_152739,bf452f4dc131389ccc2e2074e83bdbc4_v1_fefa1c62.png,186,688,2053,1327,True
Fail\Loose\250825_152739_A35W_19-2 [16384].bmp,9262bdd45938ca6f478468af593f4853,Loose,250825_152739,9262bdd45938ca6f478468af593f4853_v1_fefa1c62.png,276,685,1987,1314,True
Fail\Loose\250825_152739_A35W_2-1 [1024].bmp,ea5e27d3f079f83003f0ca6da472d735,Loose,250825_152739,ea5e27d3f079f83003f0ca6da472d735_v1_fefa1c62.png,204,667,2232,1312,True
Fail\Loose\250825_152739_A35W_20-2 [16384].bmp,c588daf6adb69b5f074a0c14b50caa8e,Loose,250825_152739,c588daf6adb69b5f074a0c14b50caa8e_v1_fefa1c62.png,264,700,2029,1319,True
Fail\Loose\250825_152739_A35W_5-1 [1024].bmp,447e7538763008c4ccd0b67e6917cd26,Loose,250825_152739,447e7538763008c4ccd0b67e6917cd26_v1_fefa1c62.png,188,670,2299,1323,True
Fail\Loose\250825_152739_A35W_6-1 [1024].bmp,e3a6cfd5cad7182afb2204162c8aee6a,Loose,250825_152739,e3a6cfd5cad7182afb2204162c8aee6a_v1_fefa1c62.png,190,674,2247,1345,True
Fail\Loose\250825_152739_A35W_9-3 [16].bmp,ab64edf19f2d949b7da3af0cd4253339,Loose,250825_152739,ab64edf19f2d949b7da3af0cd4253339_v1_fefa1c62.png,288,582,1947,1239,True
Fail\Loose\250827_104700_A35W_3-1 [1024].bmp,06493deb8eb948b402402d25c2c1bb22,Loose,250827_104700,06493deb8eb948b402402d25c2c1bb22_v1_fefa1c62.png,206,681,2193,1324,True
Fail\Loose\250827_104700_A35W_4-1 [1024].bmp,ca56224ccf38ca27f4383fe77f7da629,Loose,250827_104700,ca56224ccf38ca27f4383fe77f7da629_v1_fefa1c62.png,182,662,2191,1319,True
Fail\Loose\250827_104700_A35W_6-2 [16384].bmp,3782c098bf8e7820bb9541c380285173,Loose,250827_104700,3782c098bf8e7820bb9541c380285173_v1_fefa1c62.png,269,678,1990,1317,True
Fail\Loose\250827_104700_A35W_8-3 [16].bmp,668696437ec432ced7c19cca6aeb5ebe,Loose,250827_104700,668696437ec432ced7c19cca6aeb5ebe_v1_fefa1c62.png,309,591,1976,1200,True
Fail\Loose\250907_140040_A35W_5-1 [1024].bmp,0bd43c3513d13ed73ff87c3cac0f7a18,Loose,250907_140040,0bd43c3513d13ed73ff87c3cac0f7a18_v1_fefa1c62.png,204,669,2177,1312,True
Fail\Loose\250907_140040_A35W_6-1 [1024].bmp,776edbf85e2c0e5bad6acb2c0915c7e1,Loose,250907_140040,776edbf85e2c0e5bad6acb2c0915c7e1_v1_fefa1c62.png,207,672,2313,1325,True
Fail\Loose\250907_140040_A35W_7-1 [1024].bmp,478edc87b5bce57a6aa8a5745cea49c0,Loose,250907_140040,478edc87b5bce57a6aa8a5745cea49c0_v1_fefa1c62.png,188,674,2179,1329,True
Fail\Loose\250907_140040_A35W_8-1 [1024].bmp,fab45b689e526c4fc3cc93fe7bfeb739,Loose,250907_140040,fab45b689e526c4fc3cc93fe7bfeb739_v1_fefa1c62.png,181,673,2284,1316,True
Fail\Loose\250907_142008_A35W_1-1 [1024].bmp,a903d9de9e0f0830b188be47be1a5fc4,Loose,250907_142008,a903d9de9e0f0830b188be47be1a5fc4_v1_fefa1c62.png,199,675,2180,1322,True
Fail\Loose\250907_142008_A35W_4-3 [16].bmp,137251360ab58aef031c4b398568c236,Loose,250907_142008,137251360ab58aef031c4b398568c236_v1_fefa1c62.png,264,598,1977,1222,True
Fail\Loose\250930_161939_A35W_14-2 [16].bmp,ec4d3b0ab58d0ca33822d481815c39f1,Loose,250930_161939,ec4d3b0ab58d0ca33822d481815c39f1_v1_fefa1c62.png,160,672,2149,1309,True
Fail\Loose\250930_161939_A35W_15-1 [1024].bmp,f09b5270f23441c9c8cfe5091234b3b4,Loose,250930_161939,f09b5270f23441c9c8cfe5091234b3b4_v1_fefa1c62.png,192,678,2353,1333,True
Fail\Loose\250930_161939_A35W_16-3 [16].bmp,aa727c1b3c4b495df56356cc554f9c5e,Loose,250930_161939,aa727c1b3c4b495df56356cc554f9c5e_v1_fefa1c62.png,277,595,2068,1224,True
Fail\Loose\250930_161939_A35W_4-1 [1024].bmp,775d0c6e667b330356de8e01e060ae98,Loose,250930_161939,775d0c6e667b330356de8e01e060ae98_v1_fefa1c62.png,192,667,2201,1314,True
Fail\Loose\250930_161939_A35W_5-2 [16].bmp,21342287a5a5e8925a7cc4b73f21f6f1,Loose,250930_161939,21342287a5a5e8925a7cc4b73f21f6f1_v1_fefa1c62.png,268,678,1979,1297,True
Fail\Loose\250930_161939_A35W_6-3 [16].bmp,3b56dbe50f2ef9a703efc4f37f55811f,Loose,250930_161939,3b56dbe50f2ef9a703efc4f37f55811f_v1_fefa1c62.png,278,574,1989,1209,True
Fail\Loose\250930_170029_A35W_1-1 [1024].bmp,f187f30d15f947bac7a59b56dd1a392b,Loose,250930_170029,f187f30d15f947bac7a59b56dd1a392b_v1_fefa1c62.png,174,659,2319,1322,True
Fail\Loose\250930_170029_A35W_10-2 [16].bmp,962da61c17f691422961e8f538ba4e2c,Loose,250930_170029,962da61c17f691422961e8f538ba4e2c_v1_fefa1c62.png,281,682,1966,1299,True
Fail\Loose\250930_170029_A35W_11-2 [16].bmp,e380fe1fd33a21f41863ffefacbbf5b1,Loose,250930_170029,e380fe1fd33a21f41863ffefacbbf5b1_v1_fefa1c62.png,252,675,1979,1306,True
Fail\Loose\250930_170029_A35W_14-3 [16].bmp,e4c0752ea7f299f7623bb95c66419ccf,Loose,250930_170029,e4c0752ea7f299f7623bb95c66419ccf_v1_fefa1c62.png,300,602,1979,1221,True
Fail\Loose\250930_170029_A35W_15-3 [16].bmp,2b559d1ea690a97b207269daea2bef0a,Loose,250930_170029,2b559d1ea690a97b207269daea2bef0a_v1_fefa1c62.png,280,590,1991,1245,True
Fail\Loose\250930_170029_A35W_16-3 [16].bmp,2ae4d654677659b6da3e1f918d95d3f6,Loose,250930_170029,2ae4d654677659b6da3e1f918d95d3f6_v1_fefa1c62.png,308,597,1972,1210,True
Fail\Loose\250930_170029_A35W_18-3 [16].bmp,27a26f5d5d991d04f52f39a55eb4a8d7,Loose,250930_170029,27a26f5d5d991d04f52f39a55eb4a8d7_v1_fefa1c62.png,315,595,2038,1224,True
Fail\Loose\250930_170029_A35W_2-1 [1024].bmp,0ea2517dae56387e54768297f0878534,Loose,250930_170029,0ea2517dae56387e54768297f0878534_v1_fefa1c62.png,176,661,2389,1342,True
Fail\Loose\250930_170029_A35W_3-1 [1024].bmp,0b5494d53e5b296d1f7fbab1a63bf85c,Loose,250930_170029,0b5494d53e5b296d1f7fbab1a63bf85c_v1_fefa1c62.png,178,661,2289,1324,True
Fail\Loose\250930_170029_A35W_4-1 [1024].bmp,080bdca147338cbf77fcaf3336fd24d0,Loose,250930_170029,080bdca147338cbf77fcaf3336fd24d0_v1_fefa1c62.png,165,676,2448,1345,True
Fail\Loose\250930_170029_A35W_7-2 [16384].bmp,47fe82899e9588341d9cc28c2631c3c9,Loose,250930_170029,47fe82899e9588341d9cc28c2631c3c9_v1_fefa1c62.png,261,673,1980,1300,True
Fail\Loose\250930_170029_A35W_8-2 [16384].bmp,f640972c5fabd5edb038ded5242d6d21,Loose,250930_170029,f640972c5fabd5edb038ded5242d6d21_v1_fefa1c62.png,279,672,1980,1293,True
Fail\Loose\250930_170029_A35W_9-2 [16384].bmp,e02823bc2516bf8edf27a589b36862d4,Loose,250930_170029,e02823bc2516bf8edf27a589b36862d4_v1_fefa1c62.png,267,667,1986,1294,True
Fail\Loose\251003_130559_A35W_1-1 [1024].bmp,b8c282559b504481ec539ce7d88bb2b8,Loose,251003_130559,b8c282559b504481ec539ce7d88bb2b8_v1_fefa1c62.png,179,668,2300,1325,True
Fail\Loose\251003_130559_A35W_14-3 [16].bmp,5f188e2f8f12c31f42fa271a2cfd083f,Loose,251003_130559,5f188e2f8f12c31f42fa271a2cfd083f_v1_fefa1c62.png,194,593,1962,1243,True
Fail\Loose\251003_130559_A35W_16-3 [16].bmp,bdf8ddfd66db40e4f6e1a783690572b7,Loose,251003_130559,bdf8ddfd66db40e4f6e1a783690572b7_v1_fefa1c62.png,188,593,1969,1224,True
Fail\Loose\251003_130559_A35W_17-3 [16].bmp,ff8aa8a6ee9b6a765debc941fdb4eec2,Loose,251003_130559,ff8aa8a6ee9b6a765debc941fdb4eec2_v1_fefa1c62.png,292,598,1971,1219,True
Fail\Loose\251003_130559_A35W_2-1 [1024].bmp,1a1e66dbda782dcb82d0ec1f8e6edd21,Loose,251003_130559,1a1e66dbda782dcb82d0ec1f8e6edd21_v1_fefa1c62.png,175,666,2362,1335,True
Fail\Loose\251003_130559_A35W_3-1 [1024].bmp,1083249c80abafdf38ab28944cd96b80,Loose,251003_130559,1083249c80abafdf38ab28944cd96b80_v1_fefa1c62.png,191,678,2193,1333,True
Fail\Loose\251003_130559_A35W_4-1 [1024].bmp,bd4d37f8f9be673bbdcaa30b9ea3a327,Loose,251003_130559,bd4d37f8f9be673bbdcaa30b9ea3a327_v1_fefa1c62.png,194,679,2289,1322,True
Fail\Loose\251003_130559_A35W_5-1 [1024].bmp,92cc9127eca4d5005fa2a08b77d0d8ce,Loose,251003_130559,92cc9127eca4d5005fa2a08b77d0d8ce_v1_fefa1c62.png,165,663,2448,1324,True
Fail\Loose\251003_133647_A35W_17-1 [1024].bmp,a38f2330a30711355eb248dc42d5bd2d,Loose,251003_133647,a38f2330a30711355eb248dc42d5bd2d_v1_fefa1c62.png,193,683,2188,1333,True
Fail\Loose\251003_133647_A35W_18-1 [1024].bmp,1b7585a633f618e330eff0318b0612e6,Loose,251003_133647,1b7585a633f618e330eff0318b0612e6_v1_fefa1c62.png,182,678,2311,1335,True
Fail\Loose\251003_133647_A35W_4-1 [1024].bmp,9b1db552005991fe7e50f602d709df79,Loose,251003_133647,9b1db552005991fe7e50f602d709df79_v1_fefa1c62.png,168,669,2263,1314,True
Fail\Loose\251003_133647_A35W_8-1 [1024].bmp,73d8f572898ee3ccf0b11b4e6b6c4529,Loose,251003_133647,73d8f572898ee3ccf0b11b4e6b6c4529_v1_fefa1c62.png,194,677,2217,1327,True
