relpath,filename,class,run,part,shot,code,width,height,hash,ahash,issues,valid,layout
Fail\Dent\250930_161939_A35W_1-2 [16].bmp,250930_161939_A35W_1-2 [16].bmp,Dent,250930_161939,1,2,16,2448,2048,f897c3feae292826f3688ef48b4dc688,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250930_161939_A35W_2-3 [16].bmp,250930_161939_A35W_2-3 [16].bmp,Dent,250930_161939,2,3,16,2448,2048,7df2716d67e771351368c6fc83e45423,0110000000000000011000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_1-1 [1024].bmp,250930_170704_A35W_1-1 [1024].bmp,Dent,250930_170704,1,1,1024,2448,2048,077a132910b40d55806ebae952b0057d,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_14-3 [16].bmp,250930_170704_A35W_14-3 [16].bmp,Dent,250930_170704,14,3,16,2448,2048,0ebb7cf108542a4d56674d6a965d0a2e,0000000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_15-3 [16].bmp,250930_170704_A35W_15-3 [16].bmp,Dent,250930_170704,15,3,16,2448,2048,7e14e44936668dc938d20fcd28d3e914,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_16-3 [16].bmp,250930_170704_A35W_16-3 [16].bmp,Dent,250930_170704,16,3,16,2448,2048,ef0dae3e1e36fd63760ef4ec24bdd152,0111111000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_17-3 [16].bmp,250930_170704_A35W_17-3 [16].bmp,Dent,250930_170704,17,3,16,2448,2048,daf62428c7fd2204d5b4116cbabf3690,0100000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_18-3 [16].bmp,250930_170704_A35W_18-3 [16].bmp,Dent,250930_170704,18,3,16,2448,2048,50aada4a1eff4d6caef90d57c335f568,0111111000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_6-2 [16384].bmp,250930_170704_A35W_6-2 [16384].bmp,Dent,250930_170704,6,2,16384,2448,2048,6521d6da1002d73e62c36a0a36b58676,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_7-2 [16].bmp,250930_170704_A35W_7-2 [16].bmp,Dent,250930_170704,7,2,16,2448,2048,b97a1a2b8a6d668d42bd30d3df3d9509,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_8-2 [16].bmp,250930_170704_A35W_8-2 [16].bmp,Dent,250930_170704,8,2,16,2448,2048,5aff33bd26f0f754ae191f92eb9d3015,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250930_170704_A35W_9-2 [16].bmp,250930_170704_A35W_9-2 [16].bmp,Dent,250930_170704,9,2,16,2448,2048,043f2cd904a0920c4beeef714575a23c,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_20-3 [16].bmp,251003_125510_A35W_20-3 [16].bmp,Dent,251003_125510,20,3,16,2448,2048,b19f7569cfef29429cbd04f8e5e2ceb9,0000000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_21-3 [16].bmp,251003_125510_A35W_21-3 [16].bmp,Dent,251003_125510,21,3,16,2448,2048,bac272b269fa32515bf87613937bbd5e,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_23-2 [16384].bmp,251003_125510_A35W_23-2 [16384].bmp,Dent,251003_125510,23,2,16384,2448,2048,11efff11308ba9d65b93a510692b4917,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_24-2 [16384].bmp,251003_125510_A35W_24-2 [16384].bmp,Dent,251003_125510,24,2,16384,2448,2048,e88ef77b37b8dbf5dab7bbad37a60c4d,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_27-1 [1024].bmp,251003_125510_A35W_27-1 [1024].bmp,Dent,251003_125510,27,1,1024,2448,2048,c29e0e397671b96d7fdae6a673a88758,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_28-1 [1024].bmp,251003_125510_A35W_28-1 [1024].bmp,Dent,251003_125510,28,1,1024,2448,2048,b326a605b96ff8a6534c1ce0b50c486c,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_29-1 [1024].bmp,251003_125510_A35W_29-1 [1024].bmp,Dent,251003_125510,29,1,1024,2448,2048,82f4aba33d44d51a79f391941194c9da,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_30-1 [1024].bmp,251003_125510_A35W_30-1 [1024].bmp,Dent,251003_125510,30,1,1024,2448,2048,9dded1cdd03c0bf9008bbad9a06321ec,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\251003_125510_A35W_31-1 [1024].bmp,251003_125510_A35W_31-1 [1024].bmp,Dent,251003_125510,31,1,1024,2448,2048,13977d279a1be6bb684b4f228bfcc084,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\251003_133647_A35W_10-2 [16384].bmp,251003_133647_A35W_10-2 [16384].bmp,Dent,251003_133647,10,2,16384,2448,2048,bd02075bded775c9eeca333a64b2249e,0000000000000000000000001111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_10-3 [16].bmp,251003_133647_A35W_10-3 [16].bmp,Dent,251003_133647,10,3,16,2448,2048,07c2de6057dca17ce63cba372213d493,0100000000000000010000101111111011111110011111100000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_11-1 [1024].bmp,251003_133647_A35W_11-1 [1024].bmp,Dent,251003_133647,11,1,1024,2448,2048,d0e9ec75c91026d70bc254e17b247e47,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_15-2 [16384].bmp,251003_133647_A35W_15-2 [16384].bmp,Dent,251003_133647,15,2,16384,2448,2048,9f03490a0ae7ee8dad65b4e08d0de5f4,0000000000000000000000001111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_2-2 [16384].bmp,251003_133647_A35W_2-2 [16384].bmp,Dent,251003_133647,2,2,16384,2448,2048,6137c70dab7e03f1897347d5ed88afc4,0000000000000000000000001111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_5-1 [1024].bmp,251003_133647_A35W_5-1 [1024].bmp,Dent,251003_133647,5,1,1024,2448,2048,9086a1afc6d058e87ec3056661ffd7ba,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_7-1 [1024].bmp,251003_133647_A35W_7-1 [1024].bmp,Dent,251003_133647,7,1,1024,2448,2048,b377ae44b03f65c5c5b22dd8eeb21dd3,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_133647_A35W_9-1 [1024].bmp,251003_133647_A35W_9-1 [1024].bmp,Dent,251003_133647,9,1,1024,2448,2048,b4c000b0fc68a7b196f776975ab084ff,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251003_135630_A35W_2-3 [16].bmp,251003_135630_A35W_2-3 [16].bmp,Dent,251003_135630,2,3,16,2448,2048,e0ad9eb452256481bfbff46caf92e680,0111000000000000010000001111111011111110011111100000000000000000,,True,L1
Fail\Dent\251003_135630_A35W_24-1 [1024].bmp,251003_135630_A35W_24-1 [1024].bmp,Dent,251003_135630,24,1,1024,2448,2048,80171faecb1cd35c42445bc74a4fa337,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251010_083430_A35W_1-1 [1024].bmp,251010_083430_A35W_1-1 [1024].bmp,Dent,251010_083430,1,1,1024,2448,2048,c59d5acd88499c2ebdb8f5b32c53c310,0000000000000000000000000111111101111111000000000000000000000000,,True,L1
Fail\Dent\251010_083430_A35W_3-1 [1024].bmp,251010_083430_A35W_3-1 [1024].bmp,Dent,251010_083430,3,1,1024,2448,2048,e14a0a92710a2c6f0c23ced6c048af22,0000000000000000000000000111111111111111000000000001000000000000,,True,L1
Fail\Dent\251010_083430_A35W_5-1 [1024].bmp,251010_083430_A35W_5-1 [1024].bmp,Dent,251010_083430,5,1,1024,2448,2048,1ddf3902a483ba7a1422e31b87f9590f,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251010_084003_A35W_2-3 [16].bmp,251010_084003_A35W_2-3 [16].bmp,Dent,251010_084003,2,3,16,2448,2048,4317cea130cf38f4c7b62708e56c4fa7,0111100000000000011000001111111011111110011111100000000000000000,,True,L2
Fail\Dent\251010_084003_A35W_3-2 [16].bmp,251010_084003_A35W_3-2 [16].bmp,Dent,251010_084003,3,2,16,2448,2048,a5ffc61680eefafc09aac2ca7bc82088,0000000000000000000000001111111111111111000000000000000000000000,,True,L2
Fail\Dent\251010_084003_A35W_5-2 [16].bmp,251010_084003_A35W_5-2 [16].bmp,Dent,251010_084003,5,2,16,2448,2048,2d754c317a50bda8cf9b3c96248fde46,0000000000000000000000001111111111111111000000000000000000000000,,True,L2
Fail\Dent\251010_084003_A35W_6-2 [16].bmp,251010_084003_A35W_6-2 [16].bmp,Dent,251010_084003,6,2,16,2448,2048,9a53a9bc1d40a4fda48d617c7e93bfce,0000000000000000000000001111111111111111000000000000000000000000,,True,L2
Fail\Dent\251014_135417_A35W_1-3 [262144].bmp,251014_135417_A35W_1-3 [262144].bmp,Dent,251014_135417,1,3,262144,2448,2048,f6c867ba769f4ce5eb29ab4a5326c8c7,0000000000000000011010101111111011111110011111100000000000000000,,True,L1
Fail\Dent\251014_135417_A35W_11-1 [1024].bmp,251014_135417_A35W_11-1 [1024].bmp,Dent,251014_135417,11,1,1024,2448,2048,93d6d4b5680d7bb14ce097a5108fd661,0000000000000000000000000111111101111111000000000001000000000000,,True,L1
Fail\Dent\251014_135417_A35W_15-1 [16].bmp,251014_135417_A35W_15-1 [16].bmp,Dent,251014_135417,15,1,16,2448,2048,768e98946f5bf9785bb4b0150d06458f,0000000000000000000000000111111101111111000000000000000000000000,,True,L1
Fail\Dent\251014_135417_A35W_28-1 [1024].bmp,251014_135417_A35W_28-1 [1024].bmp,Dent,251014_135417,28,1,1024,2448,2048,c7cf0bd0081bc49b1d29ce283678d644,0000000000000000000000000111111101111111000000000000000000000000,,True,L1
Fail\Dent\251014_135417_A35W_3-2 [16].bmp,251014_135417_A35W_3-2 [16].bmp,Dent,251014_135417,3,2,16,2448,2048,a589465207325f797d85939bdffa6330,0000000000000000000000001111111111111111000000000000000000000000,,True,L1
Fail\Dent\251014_135417_A35W_4-2 [16].bmp,251014_135417_A35W_4-2 [16].bmp,Dent,251014_135417,4,2,16,2448,2048,255053dbf7df2f31c4cb03ea86019d52,0000000000000000000000001111111111111111000000000000000000000000,,True,L1
Fail\Dent\251014_135417_A35W_6-1 [1024].bmp,251014_135417_A35W_6-1 [1024].bmp,Dent,251014_135417,6,1,1024,2448,2048,185be8ac07f0b27b862a86be95c42373,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Dent\251014_141452_A35W_3-3 [262144].bmp,251014_141452_A35W_3-3 [262144].bmp,Dent,251014_141452,3,3,262144,2448,2048,4055f1ccd4e3fe213517673614334b5a,0100000000000000011010101111111011111110011111100000000000000000,,True,L0
Fail\Dent\251016_140741_A35W_1-3 [262144].bmp,251016_140741_A35W_1-3 [262144].bmp,Dent,251016_140741,1,3,262144,2448,2048,5347ffc7aa87c7059e95aa24a66330fc,0000000000000000000000001111111011111110011111100000000000000000,,True,L2
Fail\Dent\251016_140741_A35W_3-3 [1].bmp,251016_140741_A35W_3-3 [1].bmp,Dent,251016_140741,3,3,1,2448,2048,7921a9d4f737baeef8b3698f117f5b6a,0100000000000000010000101111111011111110011111100000000000000000,,True,L2
Fail\Dent\251016_140741_A35W_7-2 [16].bmp,251016_140741_A35W_7-2 [16].bmp,Dent,251016_140741,7,2,16,2448,2048,b24ae953acd25a089e7e860c4f79240d,0000000000000000000000001111111111111111000000000000000000000000,,True,L2
Fail\Loose\250825_152739_A35W_1-1 [1024].bmp,250825_152739_A35W_1-1 [1024].bmp,Loose,250825_152739,1,1,1024,2448,2048,c715705d56128ee74be4696081738bf1,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_10-3 [16].bmp,250825_152739_A35W_10-3 [16].bmp,Loose,250825_152739,10,3,16,2448,2048,a5bdc28ebdce3c94b25ed5f44f8580b6,0110000000000000011000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_11-3 [16].bmp,250825_152739_A35W_11-3 [16].bmp,Loose,250825_152739,11,3,16,2448,2048,0f3b924598bfc7ac0328e979a2c408a9,0110000000000000011000101111111011111110011111100000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_12-3 [16].bmp,250825_152739_A35W_12-3 [16].bmp,Loose,250825_152739,12,3,16,2448,2048,8825354f8b43cb87856110221d5aee6d,0100000000000000011010101111111011111110011111100000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_13-3 [16].bmp,250825_152739_A35W_13-3 [16].bmp,Loose,250825_152739,13,3,16,2448,2048,23b9c5116c7c82618d1898e320fdce3f,0000000000000000010000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_16-2 [16384].bmp,250825_152739_A35W_16-2 [16384].bmp,Loose,250825_152739,16,2,16384,2448,2048,bcf29f73484535372f22dab809950f10,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_17-2 [16384].bmp,250825_152739_A35W_17-2 [16384].bmp,Loose,250825_152739,17,2,16384,2448,2048,1c64c74db99cfe466f6e03b00d3e3342,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_18-2 [16384].bmp,250825_152739_A35W_18-2 [16384].bmp,Loose,250825_152739,18,2,16384,2448,2048,bf452f4dc131389ccc2e2074e83bdbc4,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_19-2 [16384].bmp,250825_152739_A35W_19-2 [16384].bmp,Loose,250825_152739,19,2,16384,2448,2048,9262bdd45938ca6f478468af593f4853,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_2-1 [1024].bmp,250825_152739_A35W_2-1 [1024].bmp,Loose,250825_152739,2,1,1024,2448,2048,ea5e27d3f079f83003f0ca6da472d735,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_20-2 [16384].bmp,250825_152739_A35W_20-2 [16384].bmp,Loose,250825_152739,20,2,16384,2448,2048,c588daf6adb69b5f074a0c14b50caa8e,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_5-1 [1024].bmp,250825_152739_A35W_5-1 [1024].bmp,Loose,250825_152739,5,1,1024,2448,2048,447e7538763008c4ccd0b67e6917cd26,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_6-1 [1024].bmp,250825_152739_A35W_6-1 [1024].bmp,Loose,250825_152739,6,1,1024,2448,2048,e3a6cfd5cad7182afb2204162c8aee6a,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Loose\250825_152739_A35W_9-3 [16].bmp,250825_152739_A35W_9-3 [16].bmp,Loose,250825_152739,9,3,16,2448,2048,ab64edf19f2d949b7da3af0cd4253339,0110000000000000010000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250827_104700_A35W_3-1 [1024].bmp,250827_104700_A35W_3-1 [1024].bmp,Loose,250827_104700,3,1,1024,2448,2048,06493deb8eb948b402402d25c2c1bb22,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Loose\250827_104700_A35W_4-1 [1024].bmp,250827_104700_A35W_4-1 [1024].bmp,Loose,250827_104700,4,1,1024,2448,2048,ca56224ccf38ca27f4383fe77f7da629,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Loose\250827_104700_A35W_6-2 [16384].bmp,250827_104700_A35W_6-2 [16384].bmp,Loose,250827_104700,6,2,16384,2448,2048,3782c098bf8e7820bb9541c380285173,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250827_104700_A35W_8-3 [16].bmp,250827_104700_A35W_8-3 [16].bmp,Loose,250827_104700,8,3,16,2448,2048,668696437ec432ced7c19cca6aeb5ebe,0000000000000000011110101111111011111110011111100000000000000000,,True,L0
Fail\Loose\250907_140040_A35W_5-1 [1024].bmp,250907_140040_A35W_5-1 [1024].bmp,Loose,250907_140040,5,1,1024,2448,2048,0bd43c3513d13ed73ff87c3cac0f7a18,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Loose\250907_140040_A35W_6-1 [1024].bmp,250907_140040_A35W_6-1 [1024].bmp,Loose,250907_140040,6,1,1024,2448,2048,776edbf85e2c0e5bad6acb2c0915c7e1,0000000000000000000000000111111111111111000000000000000000000000,,True,L1
Fail\Loose\250907_140040_A35W_7-1 [1024].bmp,250907_140040_A35W_7-1 [1024].bmp,Loose,250907_140040,7,1,1024,2448,2048,478edc87b5bce57a6aa8a5745cea49c0,0000000000000000000000000111111101111111000000000000000000000000,,True,L1
Fail\Loose\250907_140040_A35W_8-1 [1024].bmp,250907_140040_A35W_8-1 [1024].bmp,Loose,250907_140040,8,1,1024,2448,2048,fab45b689e526c4fc3cc93fe7bfeb739,0000000000000000000000000111111101111111000000000000000000000000,,True,L1
Fail\Loose\250907_142008_A35W_1-1 [1024].bmp,250907_142008_A35W_1-1 [1024].bmp,Loose,250907_142008,1,1,1024,2448,2048,a903d9de9e0f0830b188be47be1a5fc4,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Loose\250907_142008_A35W_4-3 [16].bmp,250907_142008_A35W_4-3 [16].bmp,Loose,250907_142008,4,3,16,2448,2048,137251360ab58aef031c4b398568c236,0000000000000000011000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250930_161939_A35W_14-2 [16].bmp,250930_161939_A35W_14-2 [16].bmp,Loose,250930_161939,14,2,16,2448,2048,ec4d3b0ab58d0ca33822d481815c39f1,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_161939_A35W_15-1 [1024].bmp,250930_161939_A35W_15-1 [1024].bmp,Loose,250930_161939,15,1,1024,2448,2048,f09b5270f23441c9c8cfe5091234b3b4,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_161939_A35W_16-3 [16].bmp,250930_161939_A35W_16-3 [16].bmp,Loose,250930_161939,16,3,16,2448,2048,aa727c1b3c4b495df56356cc554f9c5e,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250930_161939_A35W_4-1 [1024].bmp,250930_161939_A35W_4-1 [1024].bmp,Loose,250930_161939,4,1,1024,2448,2048,775d0c6e667b330356de8e01e060ae98,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_161939_A35W_5-2 [16].bmp,250930_161939_A35W_5-2 [16].bmp,Loose,250930_161939,5,2,16,2448,2048,21342287a5a5e8925a7cc4b73f21f6f1,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_161939_A35W_6-3 [16].bmp,250930_161939_A35W_6-3 [16].bmp,Loose,250930_161939,6,3,16,2448,2048,3b56dbe50f2ef9a703efc4f37f55811f,0100000000000000011000101111111011111110011111100000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_1-1 [1024].bmp,250930_170029_A35W_1-1 [1024].bmp,Loose,250930_170029,1,1,1024,2448,2048,f187f30d15f947bac7a59b56dd1a392b,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_10-2 [16].bmp,250930_170029_A35W_10-2 [16].bmp,Loose,250930_170029,10,2,16,2448,2048,962da61c17f691422961e8f538ba4e2c,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_11-2 [16].bmp,250930_170029_A35W_11-2 [16].bmp,Loose,250930_170029,11,2,16,2448,2048,e380fe1fd33a21f41863ffefacbbf5b1,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_14-3 [16].bmp,250930_170029_A35W_14-3 [16].bmp,Loose,250930_170029,14,3,16,2448,2048,e4c0752ea7f299f7623bb95c66419ccf,0000000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_15-3 [16].bmp,250930_170029_A35W_15-3 [16].bmp,Loose,250930_170029,15,3,16,2448,2048,2b559d1ea690a97b207269daea2bef0a,0100000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_16-3 [16].bmp,250930_170029_A35W_16-3 [16].bmp,Loose,250930_170029,16,3,16,2448,2048,2ae4d654677659b6da3e1f918d95d3f6,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Loose\250930_170029_A35W_18-3 [16].bmp,250930_170029_A35W_18-3 [16].bmp,Loose,250930_170029,18,3,16,2448,2048,27a26f5d5d991d04f52f39a55eb4a8d7,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
